"","V161","V162","V163"
"1246",3,2,2
"1247",3,1,3
"1248",3,3,3
"1249",3,3,3
"1250",3,2,2
"1251",4,1,4
"1252",4,1,4
"1253",4,2,4
"1254",4,0,4
"1255",4,1,4
"1256",3,3,2
"1257",2,3,3
"1258",2,2,1
"1259",2,3,2
"1260",2,3,4
"1261",2,4,2
"1262",4,4,4
"1263",4,4,4
"1264",4,0,0
"1265",4,1,2
"1266",3,2,3
"1267",1,1,2
"1268",2,2,2
"1269",2,1,1
"1270",2,3,2
"1271",1,1,1
"1272",2,2,2
"1273",3,3,3
"1274",0,2,1
"1275",1,1,1
"1276",3,-1,2
"1277",4,2,3
"1278",3,2,2
"1279",4,3,3
"1280",4,0,4
"1281",4,4,4
"1282",0,0,4
"1283",3,3,2
"1284",4,4,3
"1285",3,3,2
"1286",4,0,1
"1287",3,1,0
"1288",3,1,1
"1289",3,0,3
"1290",4,0,3
"1291",2,1,3
"1292",2,2,4
"1293",3,1,3
"1294",4,4,4
"1295",3,1,2
"1296",2,1,1
"1297",3,3,4
"1298",3,2,0
"1299",2,0,1
"1300",3,1,1
"1301",4,2,2
"1302",1,1,1
"1303",1,1,1
"1304",2,2,2
"1305",2,1,2
"1306",2,4,4
"1307",3,3,3
"1308",1,2,4
"1309",2,3,4
"1310",1,3,3
"1311",4,4,4
"1312",4,4,-2
"1313",2,0,1
"1314",3,1,1
"1315",4,2,4
"1316",4,1,2
"1317",3,1,2
"1318",3,1,1
"1319",3,0,2
"1320",4,1,3
"1321",4,2,3
"1322",4,2,3
"1323",4,1,2
"1324",4,2,2
"1325",3,2,3
"1326",4,3,4
"1327",4,1,4
"1328",4,0,4
"1329",4,0,4
"1330",3,0,4
"1331",1,2,3
"1332",2,4,2
"1333",3,1,4
"1334",2,3,2
"1335",2,2,3
"1336",1,3,3
"1337",1,1,2
"1338",1,2,1
"1339",2,1,3
"1340",1,2,1
"1341",2,2,2
"1342",1,2,1
"1343",3,3,2
"1344",1,1,1
"1345",2,1,2
"1346",4,-1,4
"1347",3,2,4
"1348",4,1,0
"1349",1,1,4
"1350",4,4,4
"1351",3,3,3
"1352",4,2,4
"1353",3,1,3
"1354",4,1,3
"1355",3,1,2
"1356",4,1,3
"1357",1,1,1
"1358",2,1,1
"1359",3,0,2
"1360",4,3,2
"1361",1,1,2
"1362",2,2,2
"1363",3,2,3
"1364",4,3,4
"1365",3,2,1
"1366",4,2,4
"1367",3,1,2
"1368",2,0,1
"1369",3,0,3
"1370",2,1,2
"1371",3,2,3
"1372",2,2,2
"1373",3,2,2
"1374",3,2,3
"1375",3,2,3
"1376",1,1,1
"1377",1,1,2
"1378",2,3,3
"1379",2,1,3
"1380",2,1,4
"1381",2,2,2
"1382",2,2,2
"1383",2,2,2
"1384",2,1,1
"1385",3,2,2
"1386",3,2,3
"1387",3,3,3
"1388",3,2,3
"1389",2,2,4
"1390",4,2,4
"1391",3,2,3
"1392",4,4,4
"1393",3,4,3
"1394",3,3,3
"1395",3,3,2
"1396",1,3,3
"1397",3,3,3
"1398",3,3,4
"1399",3,3,3
"1400",3,3,3
"1401",3,3,3
"1402",2,2,2
"1403",3,1,2
"1404",3,2,3
"1405",3,2,1
"1406",3,3,2
"1407",2,3,3
"1408",2,1,2
"1409",1,1,1
"1410",1,1,2
"1411",2,3,2
"1412",2,2,3
"1413",2,3,2
"1414",3,3,3
"1415",2,3,2
"1416",2,3,1
"1417",2,3,0
"1418",3,3,3
"1419",1,2,0
"1420",1,3,2
"1421",0,0,0
"1422",1,0,3
"1423",1,0,3
"1424",3,2,4
"1425",0,0,0
"1426",4,4,4
"1427",4,3,2
"1428",0,2,2
"1429",4,2,4
"1430",4,1,4
"1431",3,3,3
"1432",3,2,0
"1433",3,4,0
"1434",2,2,4
"1435",4,2,2
"1436",3,1,3
"1437",4,2,4
"1438",4,3,4
"1439",3,2,3
"1440",3,2,4
"1441",4,0,4
"1442",4,3,4
"1443",3,2,3
"1444",4,3,4
"1445",4,2,4
"1446",2,1,1
"1447",4,2,3
"1448",3,2,1
"1449",4,2,2
"1450",4,3,3
"1451",3,1,4
"1452",3,2,4
"1453",4,3,2
"1454",2,3,3
"1455",4,0,3
