Country,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Japan,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),(s),(s),(s),(s),0,0,0,0,1.227,1.805,1.527,1.756,1.997,2.294,2.419,2.562,2.645,2.753,2.808
Jordan,Million Kw,0,0,0,0,0,0,0,0,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0015,0.0015,0.0015,0.119
Kazakhstan,Million Kw,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.0005,0.0005,0.0005,0.002,0.002,0.006,0.053,0.056
Kenya,Million Kw,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00035,0.00035,0.00035,0.00035,0.00035,0.005,0.005,0.005,0.006,0.006,0.026
Kiribati,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.0002,0,0,0,0
"Korea, South",Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),(s),(s),0.099,0.178,0.196,0.304,0.351,0.382,0.425,0.464,0.576,0.612,0.743
Kosovo,Million Kw,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0
Kuwait,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,Million Kw,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia,Million Kw,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,(s),(s),(s),(s),(s),(s),(s),(s),(s),(s),0.026,0.026,0.026,0.028,0.029,0.03,0.036,0.059,0.067,0.069,0.069
Lebanon,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001
Lesotho,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,Million Kw,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,(s),0.001,0.031,0.047,0.054,0.098,0.154,0.179,0.275,0.279,0.282,0.438
Luxembourg,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),(s),(s),(s),(s),(s),(s),(s),0.035,0.035,0.035,0.043,0.043,0.044,0.045,0.058,0.058,0.058,0.064
Macau,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macedonia,Million Kw,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0.0012,0.0012,0.0012
Malawi,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
Mauritania,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0.005,0.034
Mauritius,Million Kw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(s),(s),0.00018,0.00018,0.00018,0.00018,0.00018,0.00018,0.0011,0.0011,0.0011,0.0011,0.001
