"","","","R_squared","P_Values"
"260","V184_1_Ref","V185_1_Ref","0.777525211517578","2.67261532150859e-17"
"261","V184_2","V183_2","0.707372560854338","1.39583945870471e-14"
"262","V184_3","V183_1_Ref","-0.764935064935065","8.39337417522962e-17"
"263","V184_3","V183_3","0.838961038961039","6.77096704315715e-20"
"264","V184_4","V183_4","0.831168831168831","1.47698961262382e-19"
"265","V184_4","V185_4","0.733766233766234","1.39032753353773e-15"
"266","V185_1_Ref","V183_1_Ref","0.800909428405325","2.92075097741247e-18"
"267","V185_1_Ref","V184_1_Ref","0.777525211517578","2.67261532150859e-17"
"268","V185_3","V183_3","0.703896103896104","1.84192460123084e-14"
"269","V185_4","V183_4","0.767532467532468","6.60865177164565e-17"
"270","V185_4","V184_4","0.733766233766234","1.39032753353773e-15"
"271","V188_3","V190_3","0.722962038779502","3.65100613692883e-15"
"272","V188_4","V190_4","0.72987012987013","1.95906931596542e-15"
"273","V190_3","V188_3","0.722962038779502","3.65100613692883e-15"
"274","V190_4","V188_4","0.72987012987013","1.95906931596542e-15"
"275","V99_Low","V100_Low","0.756739240950692","1.81239447006112e-16"
"276","V100_Low","V99_Low","0.756739240950692","1.81239447006112e-16"
"277","V200_Med","V202_Med","0.701754534106856","2.28785806766147e-14"
"278","V202_Med","V200_Med","0.701754534106856","2.28785806766147e-14"
"279","V203_Very Low_Ref","V40_1_Ref","0.728571428571429","2.19544720312687e-15"
"280","V203_ Very High","V40_1_Ref","-0.711269930335629","1.00088345635059e-14"
"281","V204_ Very High","V205_ Very High","0.707792207792208","1.32271958330325e-14"
"282","V205_ Very High","V204_ Very High","0.707792207792208","1.32271958330325e-14"
"283","V205_ Very High","V206_ Very High","0.719747607928353","6.14120990803044e-15"
"284","V206_ Very High","V205_ Very High","0.719747607928353","6.14120990803044e-15"
