"","V2","V258","V45","V46"
"1014",12,1,1,-4
"1015",12,1,2,-4
"1016",12,1,2,-4
"1017",12,1,-2,-4
"1018",12,1,2,-4
"1019",12,1,1,-4
"1020",12,1,2,-4
"1021",12,1,3,-4
"1022",12,1,2,-4
"1023",12,1,2,-4
"1024",12,1,1,-4
"1025",12,1,1,-4
"1026",12,1,1,-4
"1027",12,1,1,-4
"1028",12,1,1,-4
"1029",12,1,3,-4
"1030",12,1,2,-4
"1031",12,1,3,-4
"1032",12,1,1,-4
"1033",12,1,1,-4
"1034",12,1,1,-4
"1035",12,1,3,-4
"1036",12,1,1,-4
"1037",12,1,1,-4
"1038",12,1,1,-4
"1039",12,1,1,-4
"1040",12,1,3,-4
"1041",12,1,3,-4
"1042",12,1,3,-4
"1043",12,1,3,-4
"1044",12,1,1,-4
"1045",12,1,3,-4
"1046",12,1,1,-4
"1047",12,1,3,-4
"1048",12,1,-2,-4
"1049",12,1,1,-4
"1050",12,1,-2,-4
"1051",12,1,3,-4
"1052",12,1,2,-4
"1053",12,1,3,-4
"1054",12,1,1,-4
"1055",12,1,1,-4
"1056",12,1,1,-4
"1057",12,1,1,-4
"1058",12,1,1,-4
"1059",12,1,3,-4
"1060",12,1,2,-4
"1061",12,1,3,-4
"1062",12,1,2,-4
"1063",12,1,1,-4
"1064",12,1,1,-4
"1065",12,1,2,-4
"1066",12,1,3,-4
"1067",12,1,1,-4
"1068",12,1,1,-4
"1069",12,1,1,-4
"1070",12,1,1,-4
"1071",12,1,1,-4
"1072",12,1,1,-4
"1073",12,1,1,-4
"1074",12,1,-2,-4
"1075",12,1,1,-4
"1076",12,1,1,-4
"1077",12,1,2,-4
"1078",12,1,1,-4
"1079",12,1,1,-4
"1080",12,1,1,-4
"1081",12,1,1,-4
"1082",12,1,3,-4
"1083",12,1,2,-4
"1084",12,1,1,-4
"1085",12,1,3,-4
"1086",12,1,2,-4
"1087",12,1,1,-4
"1088",12,1,1,-4
"1089",12,1,1,-4
"1090",12,1,1,-4
"1091",12,1,1,-4
"1092",12,1,2,-4
"1093",12,1,1,-4
"1094",12,1,3,-4
"1095",12,1,2,-4
"1096",12,1,3,-4
"1097",12,1,2,-4
"1098",12,1,1,-4
"1099",12,1,1,-4
"1100",12,1,3,-4
"1101",12,1,1,-4
"1102",12,1,1,-4
"1103",12,1,1,-4
"1104",12,1,2,-4
"1105",12,1,1,-4
"1106",12,1,1,-4
"1107",12,1,1,-4
"1108",12,1,1,-4
"1109",12,1,1,-4
"1110",12,1,1,-4
"1111",12,1,3,-4
"1112",12,1,3,-4
"1113",12,1,3,-4
"1114",12,1,1,-4
